world_index,X,Y
463,3213.0,254.0
464,3314.0,295.0
465,2542.0,19.0
465,2534.0,49.0
466,3028.0,-150.0
466,3240.0,82.0
467,2968.0,257.0
467,2771.0,256.0
468,3187.0,352.0
468,3178.0,364.0
470,3189.0,285.0
470,3011.0,207.0
472,3298.0,394.0
472,3299.0,394.0
474,3176.0,402.0
474,3286.0,272.0
476,3425.0,332.0
476,3553.0,222.0
478,3231.0,341.0
478,3242.0,341.0
480,3347.0,319.0
480,3505.0,298.0
481,3419.0,331.0
481,3245.0,332.0
483,3427.0,313.0
483,3429.0,309.0
485,3450.0,322.0
485,3452.0,314.0
487,3361.0,345.0
487,3239.0,371.0
488,3333.0,368.0
488,3327.0,376.0
490,3259.0,414.0
490,3274.0,432.0
492,3254.0,430.0
492,3245.0,424.0
493,3235.0,420.0
493,3237.0,422.0
494,3253.0,433.0
494,3256.0,433.0
496,3447.0,317.0
496,3317.0,419.0
498,3432.0,326.0
498,3410.0,317.0
499,3630.0,328.0
499,3740.0,306.0
501,3772.0,551.0
501,3783.0,634.0
501,3836.0,597.0
501,3898.0,715.0
502,3961.0,679.0
503,3916.0,740.0
503,3976.0,635.0
503,3907.0,751.0
503,3838.0,833.0
503,3873.0,794.0
503,3852.0,784.0
504,3928.0,676.0
504,3936.0,629.0
504,3682.0,983.0
504,3811.0,780.0
506,3957.0,604.0
506,3979.0,555.0
507,3964.0,618.0
507,3915.0,680.0
514,3951.0,766.0
514,3933.0,799.0
515,3931.0,920.0
515,3927.0,927.0
516,3929.0,713.0
516,3928.0,715.0
518,3930.0,835.0
518,3929.0,836.0
519,3861.0,811.0
519,3850.0,817.0
520,3821.0,978.0
520,3814.0,985.0
520,3558.0,2057.0
520,3535.0,2095.0
521,3904.0,868.0
521,3894.0,870.0
521,3904.0,873.0
521,3894.0,910.0
522,3900.0,857.0
522,3884.0,890.0
523,3883.0,1016.0
523,3881.0,1009.0
524,3967.0,811.0
524,3966.0,809.0
525,3876.0,953.0
525,3871.0,948.0
526,4143.0,852.0
526,4135.0,850.0
527,3921.0,891.0
527,3930.0,883.0
528,3994.0,876.0
528,3986.0,1102.0
528,4078.0,1332.0
528,4177.0,923.0
528,4239.0,620.0
528,846.0,1035.0
528,-1357.0,1597.0
529,4303.0,551.0
529,4275.0,565.0
529,4081.0,64.0
529,4081.0,67.0
530,4958.0,783.0
530,4900.0,818.0
531,5648.0,1411.0
531,5553.0,1374.0
532,4281.0,493.0
532,4275.0,494.0
534,4526.0,634.0
534,4513.0,694.0
535,4309.0,474.0
535,4304.0,437.0
536,1823.0,976.0
536,1824.0,976.0
537,164.0,606.0
537,164.0,606.0
538,508.0,881.0
538,508.0,881.0
539,507.0,881.0
539,507.0,881.0
540,4494.0,719.0
540,4498.0,737.0
543,4288.0,601.0
543,4247.0,684.0
543,-66.0,343.0
543,-996.0,426.0
543,-1025.0,72.0
545,3343.0,871.0
545,3338.0,872.0
546,3326.0,881.0
546,3303.0,889.0
547,3204.0,917.0
547,3150.0,925.0
548,3625.0,1004.0
548,-4427.0,1728.0
549,2792.0,1037.0
549,2793.0,1036.0
552,2719.0,1094.0
552,2408.0,1360.0
554,2904.0,757.0
554,2897.0,776.0
556,2874.0,729.0
556,2875.0,730.0
556,2807.0,1046.0
556,2806.0,1045.0
557,2781.0,1044.0
557,2781.0,1044.0
557,2780.0,1044.0
557,2780.0,1044.0
557,2782.0,1045.0
557,2782.0,1045.0
557,2781.0,1044.0
557,2781.0,1044.0
558,2780.0,1044.0
558,2780.0,1044.0
561,2692.0,1088.0
561,2695.0,1087.0
561,2781.0,1044.0
561,2781.0,1044.0
562,2781.0,1044.0
562,2781.0,1044.0
564,2618.0,1100.0
564,2599.0,1085.0
565,2753.0,1046.0
565,2762.0,1045.0
566,2781.0,1044.0
566,2781.0,1044.0
568,2737.0,1035.0
568,2735.0,1035.0
570,2450.0,1005.0
570,2437.0,995.0
570,2779.0,1044.0
570,2779.0,1044.0
571,2783.0,1046.0
571,2782.0,1045.0
573,2193.0,971.0
573,2203.0,975.0
575,2781.0,1045.0
575,2781.0,1045.0
577,2199.0,982.0
577,2153.0,1028.0
577,2789.0,1051.0
577,2789.0,1051.0
577,2781.0,1044.0
577,2781.0,1044.0
578,2005.0,1052.0
578,2017.0,1047.0
579,1964.0,1017.0
579,1995.0,1017.0
580,2008.0,955.0
580,2031.0,963.0
581,1957.0,1013.0
581,1945.0,989.0
581,1926.0,943.0
581,1924.0,939.0
582,1933.0,950.0
582,1958.0,941.0
583,1965.0,937.0
583,1980.0,946.0
584,1989.0,938.0
584,2013.0,927.0
585,2013.0,912.0
585,2023.0,909.0
585,2008.0,916.0
585,2013.0,917.0
586,2009.0,903.0
586,2011.0,904.0
586,2007.0,900.0
586,2010.0,903.0
587,2004.0,903.0
587,2007.0,903.0
587,2002.0,908.0
587,1999.0,907.0
588,1996.0,899.0
588,1997.0,900.0
589,1993.0,898.0
589,1994.0,900.0
590,1993.0,897.0
590,1997.0,899.0
591,2002.0,894.0
591,1974.0,917.0
592,1816.0,984.0
592,1427.0,973.0
593,1456.0,1046.0
595,1743.0,986.0
